index,id,examYear,examRound,questionNumber,category,questionText,choice1,choice2,choice3,choice4,choice5,correctChoice,explanation,source,keywords,needsLegalReview
10,2022-34-011,2022,34,11,社会の理解,「2016 年（平成 28 年）生活のしづらさなどに関する調査（全国在宅障害児・者等実態調査）」（厚生労働省）における身体障害，知的障害，精神障害の近年の状況 に関する次の記述のうち，正しいものを 1 つ選びなさい。,最も人数の多い 障害 は，知的障害である。,施設入所者の割合が 最も高い 障害 は，身体障害である。,在宅の身体障害者のうち，65 歳以上の割合は 7 割を超えている。,在宅の知的障害者の数は，減少傾向にある。,精神障害者の 8 割は，精神障害者保健福祉手帳を所持している。,3,正解は3です。2016年調査では、在宅の身体障害者は高齢者の割合が高く、65歳以上が7割を超えていました。統計は調査年と対象をセットで確認します。 ※制度・基準・統計は改正や更新があり得るため、受験時点の最新情報も確認してください。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,True
11,2022-34-012,2022,34,12,社会の理解,Ｅさん（30 歳，女性，知的障害，障害支援区分 2）は，現在， 日中 は特例子会社で 働き，共同生活援助（グループホーム）で生活している。今後，一人暮らしをしたいと思っているが，初めてなので不安もある。次のうち，Ｅさんが安心して一人暮らしをするために利用するサービスとして，適切なものを 1 つ選びなさい。,行動援護,同行援護,自立訓練（機能訓練）,自立生活援助,就労継続支援,4,正解は4です。自立生活援助は、障害者が一人暮らしへ移行・継続するときに、定期的な訪問や相談対応などで地域生活を支えるサービスです。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
12,2022-34-013,2022,34,13,社会の理解,重度訪問介護に関する次の記述のうち，適切なものを 1 つ選びなさい。,外出時における移動中の介護も含まれる。,知的障害者は 対象 にならない。,利用者が医療機関に 入院 した場合，医療機関で支援することはできない。,訪問看護の利用者は 対象 にならない。,障害 が視覚障害のみの場合でも利用できる。,1,正解は1です。重度訪問介護には、居宅での介護だけでなく外出時の移動中の介護も含まれます。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
13,2022-34-014,2022,34,14,社会の理解,「成年後見関係事件の 概況（令和2年,月～12 月）」（最高裁判所事務総局家庭局）における，成年後見人等として活動している人が 最も多い 職種 として，正しいものを 1 つ選びなさい。行政書士,司法書士,社会保険労務士,精神保健福祉士,税理士,2,正解は2です。成年後見人等として活動する専門職のうち、この調査時点で最も多かったのは司法書士です。 ※制度・基準・統計は改正や更新があり得るため、受験時点の最新情報も確認してください。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,True
14,2022-34-015,2022,34,15,社会の理解,保健所に関する次の記述のうち，正しいものを 1 つ選びなさい。,保健所の設置は，医療法によって定められている。,保健所は，全ての市町村に設置が義務づけられている。,保健所は，医療法人によって運営されている。,保健所の 所長 は，保健師でなければならない。,保健所は，結核（tuberculosis）などの感染症の予防や対策を 行う。,5,正解は5です。保健所は地域保健法に基づき設置され、感染症対策、結核対策、食品衛生、精神保健など広域的・専門的な保健業務を担います。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
15,2022-34-016,2022,34,16,社会の理解,生活保護制度に関する次の記述のうち， 最も適切なものを 1 つ選い。,生活保護の給付方法には，金銭給付と現物給付がある。,生活保護の申請は，民生委員が 行う。,生活保護法は，日本国憲法第 13 条にある幸福追求権の実現を目的としている。,生活保護を担当する 職員 は，社会福祉士の資格が必要である。,生活保護の費用は，国が全額を負担する。＜ 領域 ：介護＞,1,正解は1です。生活保護には生活扶助などの金銭給付と、医療扶助などの現物給付があります。 ※制度・基準・統計は改正や更新があり得るため、受験時点の最新情報も確認してください。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,True
16,2022-34-017,2022,34,17,介護の基本,Ｆさん（66 歳，戸籍上の性別は男性，要介護 3）は，性同一性障害であることを理由に施設利用を避けてきた。最近，数年前の脳卒中（stroke）の後遺症がひどくなり，一人暮らしが 難しくなってきた。Ｆさんは，担当の訪問介護員（ホームヘルパー）に施設入所について，「性同一性障害でも施設に受け入でしょうか」と相談した。訪問介護員（ホームヘルパー）の応答として， 最も適切なものを 1 つ選びなさい。,「居室の 表札 は，通称名ではなく戸籍上の名前になります」,「多床室になる場合がありますよ」,「施設での生活で心配なことは何ですか」,「トイレや 入浴 については問題がありますね」,「同性による介護が原則です」,3,正解は3です。まず本人が施設生活で何を心配しているのかを確認し、本人の意向や尊厳に沿って必要な配慮を考えることが重要です。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
17,2022-34-018,2022,34,18,介護の基本,利用者主体の 考えに基づいた介護福祉職の対応に関する次の記述のうち，最も適切なものを 1 つ選びなさい。,1人で衣服を選ぶことが 難しい利用者には，毎日の衣服を自分で選声かけをする。,食べこぼしが多い利用者には，こぼさないように全介助する。,認知症（dementia）の利用者には，排泄の感覚があっても，定時に排泄の介護を行う。,転倒しやすい利用者には，事故防止のため立ち上がらないように声をかける。,入浴が自立している利用者も，危険を避けるため個別浴ではなく集団での 入浴とする。,1,正解は1です。利用者主体の介護では、できることを奪わず、本人が選択・決定できるよう声をかけて支援します。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
18,2022-34-019,2022,34,19,介護の基本,利用者の自立支援に関する次の記述のうち， 最も適切なものを 1 つ選なさい。,利用者の最期の迎え方を決めるのは，家族である。,利用者が話しやすいように， 愛称 で呼ぶ。,利用者が自分でできないことは，できるまで見守る。,利用者の生活のスケジュールを決めるのは，介護福祉職である。,利用者の意見や希望を取り入れて介護を 提供 する。,5,正解は5です。自立支援では、利用者自身の意見や希望を介護に反映し、その人らしい生活を支えることが基本です。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
19,2022-34-020,2022,34,20,介護の基本,Ｇさん（70 歳，男性，要介護 2）は，パーキンソン 病（Parkinson disease）と診断されていて， 外出 するときは 車いすを使用している。歩行が不安定なため，週,パーキンソン 病（Parkinson disease）,"回通所リハビリテーションを利用している。Ｇさんは， 1 年前に妻が亡り，息子と二人暮らしである。Ｇさんは社交的な性格で地域住民との 交流 を望でいるが，自宅周辺は坂道や段差が多くて移動が 難しく， 交流 ができていない。Ｇさんの 状況 をＩＣＦ（International Classification of Functioning, Disabilityand Health：国際生活機能分類）で 考えた場合，参加制約の原因になっている環境因子として， 最も適切なものを 1 つ選びなさい。不安定な歩行",息子と二人暮らし,自宅周辺の坂道や段差,車,4,正解は4です。ICFの環境因子には、建物・道路・段差など本人を取り巻く物理的環境が含まれます。自宅周辺の坂道や段差は参加を妨げる環境因子です。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
20,2022-34-021,2022,34,21,介護の基本,Ｈさん（75 歳，女性，要介護 2）は，孫（17 歳，男性，高校生）と自宅で二人暮らしをしている。Ｈさんは関節疾患（joint disease）があり，通所リハビリテーションの利用を開始した。介護福祉職が送迎時に孫から，「祖母は，日常生活が 難しくなり，自分が食事を作るなどの機会が増え，家事や 勉強 への不安がある」と相談された。介護福祉職の孫への対応として， 最も適切なものを 1 つ選びなさい。,「今までお世話になったのですから，今度はＨさんを支えてください」,「家事が大変なら，Ｈさんに介護老人福祉施設の 入所 を勧めましょう」,「高校の先生や介護支援専門員（ケアマネジャー）に相談していきましょう」,「家でもリハビリテーションを一緒にしてください」,「近所の人に家事を手伝ってもらってください」,3,正解は3です。高校生の孫が介護を担う状況はヤングケアラーの視点も必要です。学校やケアマネジャーなど関係者と連携し、孫の生活や学業も支えます。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
21,2022-34-022,2022,34,22,介護の基本,介護保険制度のサービス担当者会議に関する次の記述のうち， 最も適切なものを 1 つ選びなさい。,会議の 招集 は介護支援専門員（ケアマネジャー）の職務である。回以上の頻度で開催することが義務づけられている。,利用者の自宅で開催することが義務づけられている。,月,サービス提供者の実践力の向上 を目的とする。,利用者の氏名は匿名化される。,1,正解は1です。サービス担当者会議は、ケアマネジャーが招集し、利用者・家族や各サービス担当者とケアプランの内容を検討します。 ※制度・基準・統計は改正や更新があり得るため、受験時点の最新情報も確認してください。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,True
22,2022-34-023,2022,34,23,介護の基本,社会資源に関する次の記述のうち，フォーマルサービスに該当するものとして，適切なものを 1 つ選びなさい。,一人暮らしの高齢者への見守りを 行う地域住民,買物を手伝ってくれる家族,ゴミ拾いのボランティア活動を 行う学生サークル,友人や知人と 行う相互扶助の活動,介護の相談を受ける地域包括支援センター,5,正解は5です。地域包括支援センターは公的制度に位置づけられたフォーマルな社会資源です。家族・友人・近隣住民などの支援はインフォーマルな資源です。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
23,2022-34-024,2022,34,24,介護の基本,介護福祉士の職業倫理に関する次の記述のうち， 最も適切なものを 1 つ選びなさい。,介護が必要な人を 対象 にしているため，地域住民との連携は不要である。,全ての人々が質の高い介護を受けることができるように，後継者を育成する。,利用者のためによいと 考えた介護を画一的に実践する。,利用者に関する 情報 は，業務以外では 公表 してよい。,利用者の価値観よりも，介護福祉士の価値観を優先する。,2,正解は2です。介護福祉士の職業倫理には、専門性の向上とともに後継者育成を通じて介護の質を高める責務があります。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
24,2022-34-025,2022,34,25,介護の基本,施設における利用者の個人情報の安全管理対策として， 最も適切なものを 1 つ選びなさい。,介護福祉職が個人所有するスマートフォンの居室への持込みは制限しない。,不要な個人情報を破棄する場合は，万が一に備えて復元できるようにしておく。,利用者からの照会に速やかに応じるために，整理用のインデックス（index）は使用しない。,個人情報に関する苦情対応体制について，施設の掲示板等で利用者に周知徹底する。,個人情報の盗難を防ぐために， 職員の休憩室に監視カメラを設置する。,4,正解は4です。個人情報に関する苦情相談窓口や対応体制を利用者に周知することは、適切な安全管理・権利擁護につながります。 ※制度・基準・統計は改正や更新があり得るため、受験時点の最新情報も確認してください。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,True
25,2022-34-026,2022,34,26,介護の基本,訪問介護員（ホームヘルパー）が，利用者や家族からハラスメント（harassment）を受けたときの対応に関する次の記述のうち， 最も適切なものを 1つ選びなさい。,利用者に後ろから 急に抱きつかれたが，黙って耐えた。,利用者から 暴力 を受けたので，「やめてください」と伝え，上司に相談した。,利用者が繰り返す性的な 話を，苦痛だが笑顔で聞いた。,家族から暴言を受けたが，担当なのでそのまま利用者宅に通った。,家族からサービス外のことを頼まれて， 断ったら怒鳴られたので実施した。,2,正解は2です。ハラスメントを受けたときは我慢せず、拒否の意思を示して上司や組織に相談し、組織的に対応します。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
26,2022-34-027,2022,34,27,コミュニケーション技術,介護福祉職が利用者とコミュニケーションをとるときの基本的な態度として， 最も適切なものを 1 つ選びなさい。,上半身を少し利用者のほうへ 傾けた姿勢で 話を聞く。,利用者の 正面 に立って話し続ける。,腕を組んで 話を聞く。,利用者の目を見つめ続ける。,緊張感が伝わるように，背筋を伸ばす。,1,正解は1です。少し前傾して相手に身体を向ける姿勢は『あなたの話を聴いている』という受容的態度を示します。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
27,2022-34-028,2022,34,28,コミュニケーション技術,介護 福 祉 職 に よ る ア サ ー テ ィ ブ・ コ ミ ュ ニ ケ ー シ ョ ン（assertivecommunication）として， 最も適切なものを 1 つ選びなさい。,利用者の 要求 は，何も言わずにそのまま受け入れる。,利用者から苦情を言われたときは，沈黙して我慢する。,利用者を説得して介護福祉職の都合に合わせてもらう。,介護福祉職の提案に 従うことが利用者の利益になると伝える。,利用者の思いを 尊重 しながら，介護福祉職の意見を 率直 に伝える。,5,正解は5です。アサーティブ・コミュニケーションは、相手を尊重しながら自分の意見や気持ちも率直に伝える方法です。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
28,2022-34-029,2022,34,29,コミュニケーション技術,"次の事例を読んで，問題 29，問題 30 について答えなさい。〔事例〕Ｊさん（75 歳，男性）は先天性の全盲である。これまで自宅で自立した生活をしてきたが，最近，心身機能の 衰えを感じて，有料老人ホームに 入居 した。施設での生活にまだ慣れていないので，移動は介護福祉職に誘導してもらっている。ある日，介護福祉職がＪさんを自室まで誘導したときに，「いつも手伝ってもらってすみません。なかなか場所を覚えられなくて。 私か」と話してきた。
Ｊさんの発言への介護福祉職の共感的理解を示す対応として， 最も適切なものを 1 つ選びなさい。",Ｊさんの発言にうなずく。,Ｊさんの発言のあと沈黙する。,Ｊさんの 話の内容を 短くまとめて伝える。,Ｊさんの立場に立って 感情 を推し測り，言葉で 表現 して伝える。,Ｊさんの気持ちが前向きになるように，励ましの言葉を伝える。,4,正解は4です。共感的理解では、相手の立場に立って感情を推し量り、その理解を言葉で返します。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
29,2022-34-030,2022,34,30,コミュニケーション技術,"次の事例を読んで，問題 29，問題 30 について答えなさい。〔事例〕Ｊさん（75 歳，男性）は先天性の全盲である。これまで自宅で自立した生活をしてきたが，最近，心身機能の 衰えを感じて，有料老人ホームに 入居 した。施設での生活にまだ慣れていないので，移動は介護福祉職に誘導してもらっている。ある日，介護福祉職がＪさんを自室まで誘導したときに，「いつも手伝ってもらってすみません。なかなか場所を覚えられなくて。 私か」と話してきた。
Ｊさんの不安な気持ちを軽くするための介護福祉職の対応として， 最適切なものを 1 つ選びなさい。",いきなり声をかけると 驚くので，肩にふれてから挨拶をする。,誘導時の声かけは歩行の 妨げになるので，最小限にする。,角を曲がるときには，「こちらに」と方向を伝える。,トイレや 食堂 などを，一緒に歩きながら確認する。,食堂 の座席は，Ｊさんの好きなところに座るように伝える。,4,正解は4です。視覚障害のある人が新しい環境を覚えるには、実際に一緒に歩きながら場所や経路を確認することが有効です。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
30,2022-34-031,2022,34,31,コミュニケーション技術,"次の事例を読んで，問題 31，問題 32 について答えなさい。〔事例〕Ｋさん（83 歳，女性，要介護 3）は，10 年前の脳出血（cerebral hemorrhage）による後遺症で高次脳機能障害（higher brain dysfunction）がある。 感情 のコントロールが 難しく，興奮すると大声をあげて怒りだす。現在は，訪問介護（ホームヘルプサービス）を利用しながら，自宅で 長男（60 歳）と二人暮らしをしている。長男 は，会社を 3 年前に早期退職し，Ｋさんの介護に専念してきた。顔色が悪く，介護による疲労を 訴えているが，「介護を続けて，母を自宅で看取りたい」と強く希望している。別居している長女 は， 長男の様子を心配して，「母親の施設入所の手続きを進めたい」という意向を示している。
訪問介護員（ホームヘルパー）が，興奮しているときのＫさんとコミュニケーションをとるための方法として， 最も適切なものを 1 つ選びなさい。",興奮している理由を詳しく聞く。,興奮することはよくないと説明する。,冷静になるように説得する。,事前に作成しておいた日課表に沿って活動してもらう。,場所を移動して話題を変える。,5,正解は5です。興奮しているときは刺激や話題を変え、落ち着ける環境へ移すことが有効です。説得や叱責は興奮を強めることがあります。 ※制度・基準・統計は改正や更新があり得るため、受験時点の最新情報も確認してください。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,True
31,2022-34-032,2022,34,32,コミュニケーション技術,"次の事例を読んで，問題 31，問題 32 について答えなさい。〔事例〕Ｋさん（83 歳，女性，要介護 3）は，10 年前の脳出血（cerebral hemorrhage）による後遺症で高次脳機能障害（higher brain dysfunction）がある。 感情 のコントロールが 難しく，興奮すると大声をあげて怒りだす。現在は，訪問介護（ホームヘルプサービス）を利用しながら，自宅で 長男（60 歳）と二人暮らしをしている。長男 は，会社を 3 年前に早期退職し，Ｋさんの介護に専念してきた。顔色が悪く，介護による疲労を 訴えているが，「介護を続けて，母を自宅で看取りたい」と強く希望している。別居している長女 は， 長男の様子を心配して，「母親の施設入所の手続きを進めたい」という意向を示している。
長男 に対する訪問介護員（ホームヘルパー）の対応として， 最も適切なものを 1 つ選びなさい。",長男自身の意向を変える必要はないと励ます。,Ｋさん本人の意向が不明なため， 長男 の希望は通らないと伝える。,これまでの介護をねぎらい，自宅での看取りを希望する理由を尋ねる。,自宅での生活を継続するのは限界だと説明する。,長女 の言うように，施設入所の手続きを進めることが正しいと伝える。,3,正解は3です。家族の介護負担をねぎらい、希望の背景や理由を丁寧に聴くことが意思決定支援の第一歩です。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
