id,examYear,examRound,questionNumber,category,questionText,choice1,choice2,choice3,choice4,choice5,correctChoice,explanation,source,keywords,needsLegalReview
2024-36-011,2024,36,11,社会の理解,"Ｃさん（77歳、男性）は、60歳で公務員を定年退職し、年金生活をしている。持病や障害はなく、退職後も趣味のゴルフを楽しみながら健康に過ごしている。ある日、Ｃさんはゴルフ中にけがをして医療機関を受診した。
このとき、Ｃさんに適用される公的医療制度として、正しいものを1つ選びなさい。",国民健康保険,後期高齢者医療制度,共済組合保険,育成医療,更生医療,2,正解は選択肢2「後期高齢者医療制度」である。後期高齢者医療制度は原則75歳以上を対象とする公的医療保険制度である。制度問題は、対象者、実施主体、給付・サービスの内容、相談窓口を組み合わせて整理する。法令・制度・金額・対象要件は改正されることがあるため、受験時点の最新情報も確認する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-012,2024,36,12,社会の理解,次のうち、介護保険法に基づき、都道府県・指定都市・中核市が指定（許可）、監督を行うサービスとして、正しいものを1つ選びなさい。,地域密着型介護サービス,居宅介護支援,施設サービス,夜間対応型訪問介護,介護予防支援,3,正解は選択肢3「施設サービス」である。介護保険の施設サービスは、介護保険施設への入所を前提に提供され、指定・監督主体を居宅サービスと区別して覚える。制度問題は、対象者、実施主体、給付・サービスの内容、相談窓口を組み合わせて整理する。法令・制度・金額・対象要件は改正されることがあるため、受験時点の最新情報も確認する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-013,2024,36,13,社会の理解,"「障害者差別解消法」に関する次の記述のうち、適切なものを1つ選びなさい。
（注）  「障害者差別解消法」とは、「障害を理由とする差別の解消の推進に関する法律」のことである。",法の対象者は、身体障害者手帳を交付された者に限定されている。,合理的配慮は、実施するときの負担の大小に関係なく提供する。,個人による差別行為への罰則規定がある。,雇用分野での、障害を理由とした使用者による虐待の禁止が目的である。,障害者基本法の基本的な理念を具体的に実施するために制定された。,5,正解は選択肢5「障害者基本法の基本的な理念を具体的に実施するために制定された。」である。この選択肢は、制度・機関の対象者と役割の組合せが正しい。類似する制度は、実施主体、対象、給付内容、相談窓口で区別する。制度問題は、対象者、実施主体、給付・サービスの内容、相談窓口を組み合わせて整理する。法令・制度・金額・対象要件は改正されることがあるため、受験時点の最新情報も確認する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-014,2024,36,14,社会の理解,"「障害者総合支援法」に規定された移動に関する支援の説明として、最も適切なものを1つ選びなさい。
（注）  「障害者総合支援法」とは、「障害者の日常生活及び社会生活を総合的に支援するための法律」のことである。",移動支援については、介護給付費が支給される。,行動援護は、周囲の状況把握ができない視覚障害者が利用する。,同行援護は、危険を回避できない知的障害者が利用する。,重度訪問介護は、重度障害者の外出支援も行う。,共同生活援助（グループホーム）は、地域で生活する障害者の外出支援を行う。,4,正解は選択肢4「重度訪問介護は、重度障害者の外出支援も行う。」である。重度訪問介護は、重度の障害がある人に居宅での介護や外出時の移動支援などを総合的に提供する。制度問題は、対象者、実施主体、給付・サービスの内容、相談窓口を組み合わせて整理する。法令・制度・金額・対象要件は改正されることがあるため、受験時点の最新情報も確認する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-015,2024,36,15,社会の理解,"Ｄさん（80歳、男性、要介護2）は、認知症（dementia）がある。訪問介護（ホームヘルプサービス）を利用しながら一人暮らしをしている。
ある日、訪問介護員（ホームヘルパー）がＤさんの自宅を訪問すると、近所に住むＤさんの長女から、「父が、高額な投資信託の電話勧誘を受けて、契約しようかどうか悩んでいるようで心配だ」と相談された。
訪問介護員（ホームヘルパー）が長女に助言する相談先として、最も適切なものを1つ選びなさい。",公正取引委員会,都道府県障害者権利擁護センター,運営適正化委員会,消費生活センター,市町村保健センター,4,正解は選択肢4「消費生活センター」である。消費生活センターは、商品・サービスの契約や悪質商法など消費生活上の相談を受け、解決を支援する窓口である。制度問題は、対象者、実施主体、給付・サービスの内容、相談窓口を組み合わせて整理する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-016,2024,36,16,社会の理解,災害時の福祉避難所に関する次の記述のうち、適切なものを1つ選びなさい。,介護老人福祉施設の入所者は、原則として福祉避難所の対象外である。,介護保険法に基づいて指定される避難所である。,医療的ケアを必要とする者は対象にならない。,訪問介護員（ホームヘルパー）が、災害対策基本法に基づいて派遣される。,同行援護のヘルパーが、災害救助法に基づいて派遣される。,1,正解は選択肢1「介護老人福祉施設の入所者は、原則として福祉避難所の対象外である。」である。福祉避難所は、一般避難所での生活が難しい要配慮者を受け入れるため、対象者・物資・人員・役割を平時から想定する。制度問題は、対象者、実施主体、給付・サービスの内容、相談窓口を組み合わせて整理する。法令・制度・金額・対象要件は改正されることがあるため、受験時点の最新情報も確認する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-017,2024,36,17,社会の理解,"「感染症法」に基づいて、結核（tuberculosis）を発症した在宅の高齢者に、医療費の公費負担の申請業務や家庭訪問指導などを行う機関として、適切なものを1つ選びなさい。
（注）  「感染症法」とは、「感染症の予防及び感染症の患者に対する医療に関する法律」のことである。",基幹相談支援センター,地域活動支援センター,保健所,老人福祉センター,医療保護施設,3,正解は選択肢3「保健所」である。保健所は、感染症対策、結核対策、公費負担申請、保健指導など地域保健の専門的業務を担う。制度問題は、対象者、実施主体、給付・サービスの内容、相談窓口を組み合わせて整理する。法令・制度・金額・対象要件は改正されることがあるため、受験時点の最新情報も確認する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-018,2024,36,18,社会の理解,"Ｅさん（55歳、女性、障害の有無は不明）は、ひきこもりの状態にあり、就労していない。父親の年金で父親とアパートで暮らしていたが、父親が亡くなり、一人暮らしになった。遠方に住む弟は、姉が家賃を滞納していて、生活に困っているようだと、家主から連絡を受けた。
心配した弟が相談する機関として、最も適切なものを1つ選びなさい。",地域包括支援センター,福祉事務所,精神保健福祉センター,公共職業安定所（ハローワーク）,年金事務所,2,正解は選択肢2「福祉事務所」である。福祉事務所は、生活保護をはじめ福祉六法に関する相談・援助を担う行政機関である。制度問題は、対象者、実施主体、給付・サービスの内容、相談窓口を組み合わせて整理する。法令・制度・金額・対象要件は改正されることがあるため、受験時点の最新情報も確認する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-019,2024,36,19,こころとからだのしくみ,"次のうち、マズロー（Maslow, A.H.）の欲求階層説で成長欲求に該当するものとして、正しいものを1つ選びなさい。",承認欲求,安全欲求,自己実現欲求,生理的欲求,所属・愛情欲求,3,正解は選択肢3「自己実現欲求」である。マズローの欲求階層説では、自己実現欲求は自分の可能性を実現しようとする成長欲求に位置付けられる。器官の働きと症状を結び付け、生命・安全に直結する変化から優先して観察する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-020,2024,36,20,こころとからだのしくみ,次のうち、交感神経の作用に該当するものとして、正しいものを1つ選びなさい。,血管収縮,心拍数減少,気道収縮,消化促進,瞳孔収縮,1,正解は選択肢1「血管収縮」である。交感神経が優位になると、心拍増加や末梢血管収縮など活動・緊張に備える反応が起こる。器官の働きと症状を結び付け、生命・安全に直結する変化から優先して観察する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-021,2024,36,21,こころとからだのしくみ,"Ｆさん（82歳、女性）は、健康診断で骨粗鬆症｛こつそしょうしょう｝（osteoporosis）と診断され、内服治療が開始された。杖歩行｛つえほこう｝で時々ふらつくが、ゆっくりと自立歩行することができる。昼間は自室にこもり、ベッドで横になっていることが多い。リハビリテーションとして週3日歩行訓練を行い、食事は普通食を毎食8割以上摂取している。
Ｆさんの骨粗鬆症｛こつそしょうしょう｝（osteoporosis）の進行を予防するための支援として、最も適切なものを1つ選びなさい。",リハビリテーションを週1日に変更する。,繊維質の多い食事を勧める。,日光浴を日課に取り入れる。,車いすでの移動に変更する。,ビタミンＡ（vitamin A）の摂取を勧める。,3,正解は選択肢3「日光浴を日課に取り入れる。」である。日光を浴びることはビタミンDの産生を助け、カルシウム吸収と骨の健康維持に関係する。器官の働きと症状を結び付け、生命・安全に直結する変化から優先して観察する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-022,2024,36,22,こころとからだのしくみ,中耳にある耳小骨として、正しいものを1つ選びなさい。,ツチ骨,蝶形骨｛ちょうけいこつ｝,前頭骨,頬骨｛きょうこつ｝,上顎骨,1,正解は選択肢1「ツチ骨」である。中耳の耳小骨はツチ骨・キヌタ骨・アブミ骨で、鼓膜の振動を内耳へ伝える。器官の働きと症状を結び付け、生命・安全に直結する変化から優先して観察する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-023,2024,36,23,こころとからだのしくみ,成人の爪に関する次の記述のうち、正しいものを1つ選びなさい。,主成分はタンパク質である。,1日に1mm程度伸びる。,爪の外表面には爪床がある。,正常な爪は全体が白色である。,爪半月は角質化が進んでいる。,1,正解は選択肢1「主成分はタンパク質である。」である。爪の主成分は硬いケラチンというタンパク質である。器官の働きと症状を結び付け、生命・安全に直結する変化から優先して観察する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-024,2024,36,24,こころとからだのしくみ,食物が入り誤嚥｛ごえん｝が生じる部位として、適切なものを1つ選びなさい。,扁桃｛へんとう｝,食道,耳管,気管,咽頭,4,正解は選択肢4「気管」である。誤嚥は食物や唾液が声門を越えて気管へ入ることであり、誤飲と区別する。器官の働きと症状を結び付け、生命・安全に直結する変化から優先して観察する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-025,2024,36,25,こころとからだのしくみ,"Ｇさん（79歳、男性）は、介護老人保健施設に入所している。Ｇさんは普段から食べ物をかきこむように食べる様子がみられ、最近はむせることが多くなった。義歯は使用していない。食事は普通食を摂取している。ある日の昼食時、唐揚げを口の中に入れたあと、喉をつかむようなしぐさをし、苦しそうな表情になった。
Ｇさんに起きていることとして、最も適切なものを1つ選びなさい。",心筋梗塞（myocardial infarction）,蕁麻疹｛じんましん｝（urticaria）,誤嚥性肺炎｛ごえんせいはいえん｝（aspiration pneumonia）,食中毒（foodborne disease）,窒息（choking）,5,正解は選択肢5「窒息（choking）」である。食物で気道が塞がれると、声が出ない、喉をつかむ、呼吸困難などが現れ、迅速な対応が必要になる。器官の働きと症状を結び付け、生命・安全に直結する変化から優先して観察する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-026,2024,36,26,こころとからだのしくみ,"Ｈさん（60歳、男性）は、身長170cm、体重120kgである。Ｈさんは浴槽で入浴しているときに毎回、「お風呂につかると、からだが軽く感じて楽になります」と話す。胸が苦しいなど、ほかの訴えはない。
Ｈさんが話している内容に関連する入浴の作用として、最も適切なものを1つ選びなさい。",静水圧作用,温熱作用,清潔作用,浮力作用,代謝作用,4,正解は選択肢4「浮力作用」である。水中では浮力によって体重負荷が軽くなり、身体を動かしやすく感じる。器官の働きと症状を結び付け、生命・安全に直結する変化から優先して観察する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-027,2024,36,27,こころとからだのしくみ,男性に比べて女性に尿路感染症（urinary tract infection）が起こりやすい要因として、最も適切なものを1つ選びなさい。,子宮の圧迫がある。,尿道が短く直線的である。,腹部の筋力が弱い。,女性ホルモンの作用がある。,尿道括約筋が弛緩｛しかん｝している。,2,正解は選択肢2「尿道が短く直線的である。」である。女性は尿道が短く、外尿道口から細菌が膀胱へ上行しやすいため尿路感染症が起こりやすい。器官の働きと症状を結び付け、生命・安全に直結する変化から優先して観察する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-028,2024,36,28,こころとからだのしくみ,次のうち、眠りが浅くなる原因として、最も適切なものを1つ選びなさい。,抗不安薬,就寝前の飲酒,抗アレルギー薬,抗うつ薬,足浴,2,正解は選択肢2「就寝前の飲酒」である。飲酒は入眠を促すように見えても、睡眠後半を浅くし中途覚醒を増やしやすい。器官の働きと症状を結び付け、生命・安全に直結する変化から優先して観察する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-029,2024,36,29,こころとからだのしくみ,概日リズム睡眠障害（circadian rhythm sleep disorder）に関する次の記述のうち、最も適切なものを1つ選びなさい。,早朝に目が覚める。,睡眠中に下肢が勝手にピクピクと動いてしまう。,睡眠中に呼吸が止まる。,睡眠中に突然大声を出したり身体を動かしたりする。,夕方に強い眠気を感じて就寝し、深夜に覚醒してしまう。,5,正解は選択肢5「夕方に強い眠気を感じて就寝し、深夜に覚醒してしまう。」である。概日リズム睡眠障害では、体内時計と望ましい睡眠時間帯がずれ、早すぎる入眠・覚醒などが起こる。器官の働きと症状を結び付け、生命・安全に直結する変化から優先して観察する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-030,2024,36,30,こころとからだのしくみ,鎮痛薬としてモルヒネを使用している利用者に、医療職と連携した介護を実践するときに留意すべき観察点として、最も適切なものを1つ選びなさい。,不眠,下痢,脈拍,呼吸,体温,4,正解は選択肢4「呼吸」である。モルヒネなどのオピオイドでは呼吸抑制が重大な副作用となるため、呼吸数、深さ、意識状態を観察する。器官の働きと症状を結び付け、生命・安全に直結する変化から優先して観察する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-031,2024,36,31,発達と老化の理解,"スキャモン（Scammon, R.E.）の発達曲線に関する次の記述のうち、適切なものを1つ選びなさい。",神経系の組織は、4歳ごろから急速に発達する。,筋骨格系の組織は、4歳ごろから急速に発達する。,生殖器系の組織は、12歳ごろから急速に発達する。,循環器系の組織は、20歳ごろから急速に発達する。,リンパ系の組織は、20歳ごろから急速に発達する。,3,正解は選択肢3「生殖器系の組織は、12歳ごろから急速に発達する。」である。スキャモンの発達曲線で生殖型は思春期前まで緩やかで、その後急速に発達する。加齢による一般的な変化と疾病による変化を区別し、生活への影響まで捉える。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
